movieId,title,genres
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi|Thriller|Mystery|

33,Wings of Courage (1995),Adventure|Romance|IMAX|

34,Babe (1995),Drama|Children|

35,Carrington (1995),Drama|Romance|

36,Dead Man Walking (1995),Drama|Crime|

39,Clueless (1995),Romance|Comedy|

40,Cry, the Beloved Country (1995),Drama|

65577,Tale of Despereaux, The (2008),Adventure|Fantasy|Animation|Comedy|Children|

41,Richard III (1995),Drama|War|

42,Dead Presidents (1995),Action|Drama|Crime|

43,Restoration (1995),Drama|

44,Mortal Kombat (1995),Action|Adventure|Fantasy|

45,To Die For (1995),Drama|Thriller|Comedy|

46,How to Make an American Quilt (1995),Drama|Romance|

47,Seven (a.k.a. Se7en) (1995),Thriller|Mystery|

48,Pocahontas (1995),Drama|Animation|Romance|Children|Musical|

49200,Foreign Affair, A (1948),Romance|Comedy|

65585,Bride Wars (2009),Romance|Comedy|

49,When Night Is Falling (1995),Drama|Romance|

50,Usual Suspects, The (1995),Thriller|Crime|Mystery|

52,Mighty Aphrodite (1995),Drama|Romance|Comedy|

53,Lamerica (1994),Adventure|Drama|

49205,Return, The (2006),Sci-Fi|Thriller|

54,Big Green, The (1995),Comedy|Children|

55,Georgia (1995),Drama|

98361,Byzantium (2012),Drama|Thriller|Fantasy|

57,Home for the Holidays (1995),Drama|

32825,Sexmission (Seksmisja) (1984),Sci-Fi|Adventure|Comedy|

58,Postman, The (Postino, Il) (1994),Drama|Romance|Comedy|

59,Confessional, The (Confessionnal, Le) (1995),Drama|Mystery|

60,Indian in the Cupboard, The (1995),Adventure|Fantasy|Children|

61,Eye for an Eye (1996),Drama|Thriller|

65596,Mesrine: Killer Instinct (L'instinct de mort) (2008),Action|Drama|Thriller|Crime|

62,Mr. Holland's Opus (1995),Drama|

63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Crime|Comedy|

64,Two if by Sea (1996),Romance|Comedy|

65601,My Bloody Valentine 3-D (2009),Horror|Thriller|

65,Bio-Dome (1996),Comedy|

66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller|

68,French Twist (Gazon maudit) (1995),Romance|Comedy|

49220,For Your Consideration (2006),Comedy|

98373,Step Up Revolution (2012),Musical|

69,Friday (1995),Comedy|

70,From Dusk Till Dawn (1996),Action|Horror|Thriller|Comedy|

71,Fair Game (1995),Action|

72,Kicking and Screaming (1995),Drama|Comedy|

73,Misérables, Les (1995),Drama|War|

49225,Street Fight (2005),Documentary|

114760,Happy Christmas (2014),Drama|Comedy|

74,Bed of Roses (1996),Drama|Romance|

75,Big Bully (1996),Drama|Comedy|

114762,Two Night Stand (2014),Romance|Comedy|

76,Screamers (1995),Action|Sci-Fi|Thriller|

32844,Waterloo Bridge (1940),Drama|Romance|War|

78,Crossing Guard, The (1995),Action|Drama|Thriller|Crime|

79,Juror, The (1996),Drama|Thriller|

80,White Balloon, The (Badkonake sefid) (1995),Drama|Children|

81,Things to Do in Denver When You're Dead (1995),Drama|Crime|Romance|

82,Antonia's Line (Antonia) (1995),Drama|Comedy|

83,Once Upon a Time... When We Were Colored (1995),Drama|Romance|

32851,Hotel Terminus: The Life and Times of Klaus Barbie (Hôtel Terminus) (1988),Documentary|

84,Last Summer in the Hamptons (1995),Drama|Comedy|

82005,Extra Man, The (2010),Comedy|

85,Angels and Insects (1995),Drama|Romance|

32853,Sorrow and the Pity, The (Le chagrin et la pitié) (1969),Documentary|War|

86,White Squall (1996),Action|Adventure|Drama|

87,Dunston Checks In (1996),Comedy|Children|

88,Black Sheep (1996),Comedy|

89,Nick of Time (1995),Action|Thriller|

90,Journey of August King, The (1995),Drama|

92,Mary Reilly (1996),Drama|Horror|Thriller|

93,Vampire in Brooklyn (1995),Horror|Romance|Comedy|

94,Beautiful Girls (1996),Drama|Romance|Comedy|

32862,With Six You Get Eggroll (1968),Romance|Comedy|

65631,Battle in Seattle (2007),Action|Drama|

95,Broken Arrow (1996),Action|Adventure|Thriller|

96,In the Bleak Midwinter (1995),Drama|Comedy|

97,Hate (Haine, La) (1995),Drama|Crime|

100,City Hall (1996),Drama|Thriller|

101,Bottle Rocket (1996),Adventure|Crime|Romance|Comedy|

102,Mr. Wrong (1996),Comedy|

103,Unforgettable (1996),Sci-Fi|Thriller|Mystery|

104,Happy Gilmore (1996),Comedy|

105,Bridges of Madison County, The (1995),Drama|Romance|

114795,Dracula Untold (2014),Action|Drama|Fantasy|

107,Muppet Treasure Island (1996),Adventure|Comedy|Children|Musical|

32875,Holiday (Jour de fête) (1949),Comedy|

65642,Timecrimes (Cronocrímenes, Los) (2007),Sci-Fi|Thriller|

108,Catwalk (1996),Documentary|

110,Braveheart (1995),Action|Drama|War|

111,Taxi Driver (1976),Drama|Thriller|Crime|

49263,Fuck (2005),Documentary|Comedy|

112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Crime|Comedy|

113,Before and After (1996),Drama|Mystery|

114,Margaret's Museum (1995),Drama|

32882,Big Store, The (1941),Comedy|Musical|

115,Happiness Is in the Field (Bonheur est dans le pré, Le) (1995),Comedy|

116,Anne Frank Remembered (1995),Documentary|

82037,Tillman Story, The (2010),Documentary|

117,Young Poisoner's Handbook, The (1995),Drama|Crime|

118,If Lucy Fell (1996),Romance|Comedy|

49272,Casino Royale (2006),Action|Adventure|Thriller|

82041,Loved Ones, The (2009),Horror|

121,Boys of St. Vincent, The (1992),Drama|

122,Boomerang (1992),Romance|Comedy|

49274,Happy Feet (2006),Adventure|Animation|IMAX|Comedy|Children|

123,Chungking Express (Chung Hing sam lam) (1994),Drama|Romance|Mystery|

124,Star Maker, The (Uomo delle stelle, L') (1995),Drama|

32892,Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),Drama|War|

49276,Let's Go to Prison (2006),Comedy|

125,Flirting With Disaster (1996),Comedy|

65660,Secret of the Grain, The (La graine et le mulet) (2007),Drama|

126,NeverEnding Story III, The (1994),Adventure|Fantasy|Children|

49278,Déjà Vu (Deja Vu) (2006),Action|Sci-Fi|Thriller|

49280,Bobby (2006),Drama|

129,Pie in the Sky (1996),Romance|Comedy|

32898,Trip to the Moon, A (Voyage dans la lune, Le) (1902),Action|Sci-Fi|Adventure|Fantasy|

131,Frankie Starlight (1995),Drama|Romance|

132,Jade (1995),Thriller|

49284,10 Items or Less (2006),Drama|Romance|Comedy|

82053,Casino Jack (2010),Crime|Comedy|

49286,Holiday, The (2006),Romance|Comedy|

135,Down Periscope (1996),Comedy|

137,Man of the Year (1995),Documentary|

138,Neon Bible, The (1995),Drama|

82059,Farewell (L'affaire Farewell) (2009),Thriller|

140,Up Close and Personal (1996),Drama|Romance|

141,Birdcage, The (1996),Comedy|

144,Brothers McMullen, The (1995),Comedy|

145,Bad Boys (1995),Action|Drama|Thriller|Crime|Comedy|

146,Amazing Panda Adventure, The (1995),Adventure|Children|

147,Basketball Diaries, The (1995),Drama|

65682,Underworld: Rise of the Lycans (2009),Action|Horror|Thriller|Fantasy|

65685,Inkheart (2008),Adventure|Fantasy|

149,Amateur (1994),Drama|Thriller|Crime|

150,Apollo 13 (1995),Adventure|Drama|IMAX|

151,Rob Roy (1995),Action|Drama|Romance|War|

152,Addiction, The (1995),Drama|Horror|

153,Batman Forever (1995),Action|Adventure|Crime|Comedy|

154,Beauty of the Day (Belle de jour) (1967),Drama|

155,Beyond Rangoon (1995),Adventure|Drama|War|

156,Blue in the Face (1995),Drama|Comedy|

157,Canadian Bacon (1995),War|Comedy|

158,Casper (1995),Adventure|Children|

114847,Autómata (Automata) (2014),Sci-Fi|Thriller|

159,Clockers (1995),Drama|Crime|Mystery|

160,Congo (1995),Action|Sci-Fi|Adventure|Mystery|

49312,Snow Cake (2006),Drama|

114849,The Prince (2014),Action|Thriller|

161,Crimson Tide (1995),Drama|Thriller|War|

162,Crumb (1994),Documentary|

49314,Harsh Times (2006),Action|Drama|Crime|

163,Desperado (1995),Western|Action|Romance|

164,Devil in a Blue Dress (1995),Film-Noir|Thriller|Crime|Mystery|

165,Die Hard: With a Vengeance (1995),Action|Thriller|Crime|

166,Doom Generation, The (1995),Drama|Crime|Comedy|

168,First Knight (1995),Action|Drama|Romance|

169,Free Willy 2: The Adventure Home (1995),Adventure|Drama|Children|

170,Hackers (1995),Action|Adventure|Thriller|Crime|

171,Jeffrey (1995),Drama|Comedy|

172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller|

82093,London Boulevard (2010),Crime|Romance|

173,Judge Dredd (1995),Action|Sci-Fi|Crime|

174,Jury Duty (1995),Comedy|

82095,Skyline (2010),Sci-Fi|Thriller|

175,Kids (1995),Drama|

32943,Life Is Sweet (1990),Drama|Comedy|

176,Living in Oblivion (1995),Comedy|

177,Lord of Illusions (1995),Horror|

178,Love & Human Remains (1993),Drama|Comedy|

179,Mad Love (1995),Drama|Romance|

180,Mallrats (1995),Romance|Comedy|

181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children|

182,Moonlight and Valentino (1995),Drama|Romance|

183,Mute Witness (1994),Horror|Thriller|Comedy|

184,Nadja (1994),Drama|

131258,The Pirates (2014),Adventure|

185,Net, The (1995),Action|Thriller|Crime|

186,Nine Months (1995),Romance|Comedy|

32954,Chant of Jimmy Blacksmith, The (1978),Drama|

98491,Paperman (2012),Animation|Romance|Comedy|

187,Party Girl (1995),Comedy|

188,Prophecy, The (1995),Horror|Fantasy|Mystery|

190,Safe (1995),Thriller|

191,Scarlet Letter, The (1995),Drama|Romance|

193,Showgirls (1995),Drama|

194,Smoke (1995),Drama|Comedy|

65731,The Alphabet Killer (2008),Thriller|Crime|Mystery|

195,Something to Talk About (1995),Drama|Romance|Comedy|

49347,Fast Food Nation (2006),Drama|

196,Species (1995),Sci-Fi|Horror|

198,Strange Days (1995),Action|Sci-Fi|Drama|Thriller|Crime|Mystery|

32966,Let Him Have It (1991),Drama|Crime|

199,Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964),Drama|Romance|Musical|

200,Tie That Binds, The (1995),Thriller|

82121,Verdict, The (1946),Film-Noir|Drama|Thriller|Crime|Mystery|

201,Three Wishes (1995),Drama|Fantasy|

202,Total Eclipse (1995),Drama|Romance|

203,To Wong Foo, Thanks for Everything! Julie Newmar (1995),Comedy|

49355,Bête humaine, La (1938),Drama|

204,Under Siege 2: Dark Territory (1995),Action|

205,Unstrung Heroes (1995),Drama|Comedy|

65740,Revenge of the Nerds IV: Nerds in Love (1994),Romance|Comedy|

206,Unzipped (1995),Documentary|

207,Walk in the Clouds, A (1995),Drama|Romance|

208,Waterworld (1995),Action|Sci-Fi|Adventure|

209,White Man's Burden (1995),Drama|

210,Wild Bill (1995),Western|

211,Browning Version, The (1994),Drama|

212,Bushwhacked (1995),Adventure|Crime|Comedy|Mystery|

213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama|

214,Before the Rain (Pred dozhdot) (1994),Drama|War|

215,Before Sunrise (1995),Drama|Romance|

216,Billy Madison (1995),Comedy|

217,Babysitter, The (1995),Drama|Thriller|

218,Boys on the Side (1995),Drama|Comedy|

82139,Not Forgotten (2009),Thriller|

219,Cure, The (1995),Drama|

220,Castle Freak (1995),Horror|

82141,Brotherhood, The (1968),Drama|Crime|

222,Circle of Friends (1995),Drama|Romance|

223,Clerks (1994),Comedy|

98526,Jude the Obscure (1971),Drama|

224,Don Juan DeMarco (1995),Drama|Romance|Comedy|

225,Disclosure (1994),Drama|Thriller|

226,Dream Man (1995),Thriller|

227,Drop Zone (1994),Action|Thriller|

228,Destiny Turns on the Radio (1995),Comedy|

229,Death and the Maiden (1994),Drama|Thriller|

230,Dolores Claiborne (1995),Drama|Thriller|

231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy|

32999,Wilson (1944),Drama|

232,Eat Drink Man Woman (Yin shi nan nu) (1994),Drama|Romance|Comedy|

233,Exotica (1994),Drama|

82152,Beastly (2011),Drama|Fantasy|Romance|

234,Exit to Eden (1994),Comedy|

235,Ed Wood (1994),Drama|Comedy|

236,French Kiss (1995),Action|Romance|Comedy|

33004,Hitchhiker's Guide to the Galaxy, The (2005),Sci-Fi|Adventure|Comedy|

237,Forget Paris (1995),Romance|Comedy|

238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children|

239,Goofy Movie, A (1995),Animation|Romance|Comedy|Children|

240,Hideaway (1995),Thriller|

241,Fluke (1995),Drama|Children|

242,Farinelli: il castrato (1994),Drama|Musical|

49394,Simon of the Desert (Simón del desierto) (1965),Drama|

243,Gordy (1995),Fantasy|Comedy|Children|

49396,Tenacious D in The Pick of Destiny (2006),Adventure|Comedy|Musical|

245,The Glass Shield (1994),Drama|Crime|

246,Hoop Dreams (1994),Documentary|

82167,Love and Other Drugs (2010),Drama|Romance|Comedy|

114935,Predestination (2014),Action|Sci-Fi|Thriller|Mystery|

247,Heavenly Creatures (1994),Drama|Crime|

248,Houseguest (1994),Comedy|

82169,Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010),Adventure|Fantasy|Children|

249,Immortal Beloved (1994),Drama|Romance|

250,Heavyweights (Heavy Weights) (1995),Comedy|Children|

251,Hunted, The (1995),Action|

252,I.Q. (1994),Romance|Comedy|

253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror|

254,Jefferson in Paris (1995),Drama|

255,Jerky Boys, The (1995),Comedy|

256,Junior (1994),Sci-Fi|Comedy|

257,Just Cause (1995),Thriller|Mystery|

258,Kid in King Arthur's Court, A (1995),Adventure|Fantasy|Romance|Comedy|Children|

259,Kiss of Death (1995),Drama|Thriller|Crime|

260,Star Wars: Episode IV - A New Hope (1977),Action|Sci-Fi|Adventure|

49412,It's A Wonderful World (1939),Crime|Romance|Comedy|

261,Little Women (1994),Drama|

262,Little Princess, A (1995),Drama|Children|

263,Ladybird Ladybird (1994),Drama|

265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance|

266,Legends of the Fall (1994),Western|Drama|Romance|War|

267,Major Payne (1995),Comedy|

65802,Paul Blart: Mall Cop (2009),Action|Crime|Comedy|

268,Little Odessa (1994),Drama|Crime|

33036,Eiger Sanction, The (1975),Action|Adventure|Drama|Thriller|

269,My Crazy Life (Mi vida loca) (1993),Drama|

270,Love Affair (1994),Drama|Romance|

49422,OSS 117: Cairo, Nest of Spies (OSS 117: Le Caire nid d'espions) (2006),Adventure|Crime|Comedy|

271,Losing Isaiah (1995),Drama|

272,Madness of King George, The (1994),Drama|Comedy|

273,Mary Shelley's Frankenstein (Frankenstein) (1994),Sci-Fi|Drama|Horror|

274,Man of the House (1995),Comedy|

275,Mixed Nuts (1994),Comedy|

65810,Notorious (2009),Drama|Musical|

276,Milk Money (1994),Romance|Comedy|

65813,Unborn, The (2009),Horror|Thriller|Mystery|

277,Miracle on 34th Street (1994),Drama|

278,Miami Rhapsody (1995),Comedy|

279,My Family (1995),Drama|

280,Murder in the First (1995),Drama|Thriller|

98585,Hitchcock (2012),Drama|

281,Nobody's Fool (1994),Drama|Romance|Comedy|

282,Nell (1994),Drama|

283,New Jersey Drive (1995),Drama|Crime|

82202,Tourist, The (2010),Drama|Thriller|

288,Natural Born Killers (1994),Action|Thriller|Crime|

289,Only You (1994),Romance|Comedy|

290,Once Were Warriors (1994),Drama|Crime|

291,Poison Ivy II (1996),Drama|Thriller|

292,Outbreak (1995),Action|Sci-Fi|Drama|Thriller|

293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Drama|Thriller|Crime|

294,Perez Family, The (1995),Romance|Comedy|

296,Pulp Fiction (1994),Drama|Thriller|Crime|Comedy|

298,Pushing Hands (Tui shou) (1992),Drama|

299,Priest (1994),Drama|

300,Quiz Show (1994),Drama|

301,Picture Bride (Bijo photo) (1994),Drama|Romance|

302,Queen Margot (Reine Margot, La) (1994),Drama|Romance|

303,Quick and the Dead, The (1995),Western|Action|Thriller|

304,Roommates (1995),Drama|Comedy|

305,Ready to Wear (Pret-A-Porter) (1994),Comedy|

306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama|

307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama|

308,Three Colors: White (Trzy kolory: Bialy) (1994),Drama|Comedy|

309,Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994),Drama|

312,Stuart Saves His Family (1995),Comedy|

49464,Sitting Pretty (1948),Comedy|

313,Swan Princess, The (1994),Animation|Children|

314,Secret of Roan Inish, The (1994),Drama|Fantasy|Mystery|Children|

315,Specialist, The (1994),Action|Drama|Thriller|

316,Stargate (1994),Action|Sci-Fi|Adventure|

317,Santa Clause, The (1994),Drama|Fantasy|Comedy|

33085,Amityville Horror, The (2005),Horror|Thriller|

318,Shawshank Redemption, The (1994),Drama|Crime|

319,Shallow Grave (1994),Drama|Thriller|Comedy|

320,Suture (1993),Film-Noir|Thriller|

321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama|

322,Swimming with Sharks (1995),Drama|Comedy|

33090,Mutant Aliens (2001),Sci-Fi|Animation|Comedy|

324,Sum of Us, The (1994),Drama|Comedy|

325,National Lampoon's Senior Trip (1995),Comedy|

82244,13 (2010),Thriller|

326,To Live (Huozhe) (1994),Drama|

327,Tank Girl (1995),Action|Sci-Fi|Comedy|

328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller|

329,Star Trek: Generations (1994),Sci-Fi|Adventure|Drama|

330,Tales from the Hood (1995),Action|Horror|Crime|

331,Tom & Viv (1994),Drama|

65866,Three Strangers (1946),Drama|Crime|

332,Village of the Damned (1995),Sci-Fi|Horror|

333,Tommy Boy (1995),Comedy|

65868,Repo! The Genetic Opera (2008),Horror|Fantasy|Musical|

334,Vanya on 42nd Street (1994),Drama|

335,Underneath (1995),Thriller|Mystery|

336,Walking Dead, The (1995),Drama|War|

337,What's Eating Gilbert Grape (1993),Drama|

338,Virtuosity (1995),Action|Sci-Fi|Thriller|

339,While You Were Sleeping (1995),Romance|Comedy|

340,War, The (1994),Adventure|Drama|War|

341,Double Happiness (1994),Drama|

342,Muriel's Wedding (1994),Comedy|

343,Baby-Sitters Club, The (1995),Children|

344,Ace Ventura: Pet Detective (1994),Comedy|

345,Adventures of Priscilla, Queen of the Desert, The (1994),Drama|Comedy|

33113,Act of Violence (1948),Film-Noir|Drama|Thriller|

346,Backbeat (1993),Drama|Musical|

347,Bitter Moon (1992),Film-Noir|Drama|Romance|

65882,Uninvited, The (2009),Drama|Horror|Thriller|Mystery|

348,Bullets Over Broadway (1994),Comedy|

349,Clear and Present Danger (1994),Action|Drama|Thriller|Crime|

350,Client, The (1994),Drama|Thriller|Mystery|

351,Corrina, Corrina (1994),Drama|Romance|Comedy|

352,Crooklyn (1994),Drama|Comedy|

353,Crow, The (1994),Action|Thriller|Crime|Fantasy|

354,Cobb (1994),Drama|

355,Flintstones, The (1994),Fantasy|Comedy|Children|

356,Forrest Gump (1994),Drama|Romance|War|Comedy|

357,Four Weddings and a Funeral (1994),Romance|Comedy|

358,Higher Learning (1995),Drama|

33126,Frisco Kid, The (1979),Western|Comedy|

360,I Love Trouble (1994),Action|Comedy|

361,It Could Happen to You (1994),Drama|Romance|Comedy|

362,Jungle Book, The (1994),Adventure|Romance|Children|

65899,12:01 (1993),Sci-Fi|Thriller|Romance|Comedy|

363,Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993),Documentary|

364,Lion King, The (1994),Adventure|Drama|Animation|IMAX|Children|Musical|

365,Little Buddha (1993),Drama|

366,Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994),Drama|Horror|Thriller|Mystery|

367,Mask, The (1994),Action|Crime|Fantasy|Comedy|

368,Maverick (1994),Western|Adventure|Comedy|

33136,House of D (2004),Drama|

369,Mrs. Parker and the Vicious Circle (1994),Drama|

370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy|

33138,Palindromes (2004),Adventure|Drama|Comedy|

371,Paper, The (1994),Drama|Comedy|

372,Reality Bites (1994),Drama|Romance|Comedy|

49524,Nativity Story, The (2006),Drama|

131446,Rurouni Kenshin: Kyoto Inferno (2014),Action|Adventure|Drama|Animation|

373,Red Rock West (1992),Thriller|

374,Richie Rich (1994),Comedy|Children|

49526,National Lampoon's Van Wilder: The Rise of Taj (2006),Comedy|

131444,Rurouni Kenshin: The Legend Ends (2014),Action|Adventure|Drama|

375,Safe Passage (1994),Drama|

376,River Wild, The (1994),Action|Thriller|

49528,Turistas (2006),Adventure|Drama|Horror|Thriller|Mystery|

377,Speed (1994),Action|Thriller|Romance|

33145,Lot Like Love, A (2005),Drama|Romance|Comedy|

378,Speechless (1994),Romance|Comedy|

49530,Blood Diamond (2006),Action|Adventure|Drama|Thriller|Crime|War|

379,Timecop (1994),Action|Sci-Fi|Thriller|

380,True Lies (1994),Action|Adventure|Thriller|Romance|Comedy|

381,When a Man Loves a Woman (1994),Drama|Romance|

382,Wolf (1994),Drama|Horror|Thriller|Romance|

383,Wyatt Earp (1994),Western|

384,Bad Company (1995),Action|Drama|Crime|

385,Man of No Importance, A (1994),Drama|

386,S.F.W. (1994),Drama|

33154,Enron: The Smartest Guys in the Room (2005),Documentary|

387,Low Down Dirty Shame, A (1994),Action|Comedy|

388,Boys Life (1995),Drama|

389,Colonel Chabert, Le (1994),Drama|Romance|War|

390,Faster Pussycat! Kill! Kill! (1965),Action|Drama|Crime|

33158,xXx: State of the Union (2005),Action|Thriller|Crime|

65927,Night Train (2009),Action|Thriller|Mystery|

391,Jason's Lyric (1994),Drama|Crime|

392,Secret Adventures of Tom Thumb, The (1993),Adventure|Animation|

393,Street Fighter (1994),Action|Adventure|Fantasy|

33162,Kingdom of Heaven (2005),Action|Drama|Romance|War|

82315,Beau Serge, Le (1958),Drama|

396,Fall Time (1995),Drama|

33164,House of Wax (2005),Horror|Thriller|

33166,Crash (2004),Drama|Crime|

33171,Mysterious Skin (2004),Drama|Mystery|

404,Brother Minister: The Assassination of Malcolm X (1994),Documentary|

405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy|

407,In the Mouth of Madness (1995),Horror|Thriller|

408,8 Seconds (1994),Drama|

409,Above the Rim (1994),Drama|Crime|

410,Addams Family Values (1993),Fantasy|Comedy|Children|

412,Age of Innocence, The (1993),Drama|

413,Airheads (1994),Comedy|

414,Air Up There, The (1994),Comedy|

415,Another Stakeout (1993),Thriller|Comedy|

416,Bad Girls (1994),Western|

417,Barcelona (1994),Romance|Comedy|

418,Being Human (1993),Drama|

419,Beverly Hillbillies, The (1993),Comedy|

420,Beverly Hills Cop III (1994),Action|Thriller|Crime|Comedy|

421,Black Beauty (1994),Adventure|Drama|Children|

422,Blink (1994),Thriller|

423,Blown Away (1994),Action|Thriller|

424,Blue Chips (1994),Drama|

425,Blue Sky (1994),Drama|Romance|

426,Body Snatchers (1993),Sci-Fi|Horror|Thriller|

427,Boxing Helena (1993),Drama|Thriller|Romance|Mystery|

428,Bronx Tale, A (1993),Drama|

131502,A Wolf at the Door (2013),Drama|Thriller|

429,Cabin Boy (1994),Comedy|

430,Calendar Girl (1993),Drama|Comedy|

431,Carlito's Way (1993),Drama|Crime|

432,City Slickers II: The Legend of Curly's Gold (1994),Western|Adventure|Comedy|

433,Clean Slate (1994),Comedy|

434,Cliffhanger (1993),Action|Adventure|Thriller|

435,Coneheads (1993),Sci-Fi|Comedy|

115122,What We Do in the Shadows (2014),Horror|Comedy|

436,Color of Night (1994),Drama|Thriller|

437,Cops and Robbersons (1994),Comedy|

438,Cowboy Way, The (1994),Action|Drama|Comedy|

439,Dangerous Game (1993),Drama|

440,Dave (1993),Romance|Comedy|

441,Dazed and Confused (1993),Comedy|

82360,Rammbock (2010),Drama|Horror|

442,Demolition Man (1993),Action|Sci-Fi|Adventure|

443,Endless Summer 2, The (1994),Documentary|Adventure|

444,Even Cowgirls Get the Blues (1993),Romance|Comedy|

445,Fatal Instinct (1993),Comedy|

446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance|

447,Favor, The (1994),Romance|Comedy|

65982,Outlander (2008),Action|Sci-Fi|Adventure|

448,Fearless (1993),Drama|

449,Fear of a Black Hat (1994),Comedy|

450,With Honors (1994),Drama|Comedy|

451,Flesh and Bone (1993),Drama|Romance|Mystery|

452,Widows' Peak (1994),Drama|

453,For Love or Money (1993),Romance|Comedy|

454,Firm, The (1993),Drama|Thriller|

455,Free Willy (1993),Adventure|Drama|Children|

456,Fresh (1994),Drama|Thriller|Crime|

457,Fugitive, The (1993),Thriller|

458,Geronimo: An American Legend (1993),Western|Drama|

